region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
Sub-Saharan Africa,SSA,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,3.75,0.40726093396571017,0.18345459846071938,0.1123441888696059,0.3170009369353278,7.374365426841021,4.664529111022041,0.5125764608983155,0.5195689249112876,0.46434005463069244,0.009832460144849037,0.02195307224989724,0.03342455472604417,0.044953073234978685,0.0566277415110651,0.07048757987921925,0.08808485033368785,0.113494559669167,0.15868695244104292,0.40245515581011515,0.0141996908339976,107.269989013672,16394062,1832.51410187734,,FALSE,micro,survey
Sub-Saharan Africa,SSA,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,3.75,0.39021501798966385,0.1386993890003035,0.06685411751188337,0.19757908965572768,6.513751809548646,4.6942547360800795,0.3116315023215396,0.427155149878257,0.39136524969766595,0.02071966295533835,0.03356688599601205,0.04315606415145214,0.05304570384412695,0.06542601964070074,0.07920356499582895,0.09651447112803008,0.12291698131979417,0.16233330698834159,0.3231173389803934,0.3034491231407121,107.269989013672,21691522,3048.59400223225,1216.3124106018,FALSE,micro,survey
Sub-Saharan Africa,SSA,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,3.75,0.5434588633379676,0.25308964150054714,0.15082728150368166,0.415563948261956,5.482150726198142,3.4205505392402626,0.4778896475751662,0.5127211119824917,0.470981918182327,0.013295415783554622,0.024280907025311695,0.03332860785316842,0.04342929463527932,0.05584268734223642,0.06981362525926094,0.088687618989236,0.11568737597775736,0.15939020745691707,0.39624425967731414,1.231023884150867,107.269989013672,31273533,2677.17781589774,1548.15353460027,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,3.75,0.10500360260032345,0.01830878894881916,0.005289551795301837,0.02198716642532489,7.933157550405853,6.9721026291326424,0.119104326584386,0.27010341975088836,0.24129327237527629,0.038632860014162676,0.05289346878729537,0.06378683400734679,0.07322041534489757,0.08379661928695942,0.09354902524538367,0.10823086967865014,0.12473869500996038,0.14899548136724705,0.21215573125809528,0.3996352309444787,50.3573722839355,3168033,1633.55157205372,1716.3363514573,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,3.75,0.12772559614324172,0.02532940954894437,0.007933974921887516,0.031075519252845196,8.1082287916119,6.688141410711776,0.16481159963893857,0.31738979833522096,0.26898163891907995,0.03494001774100648,0.04859444247376664,0.05842059039762326,0.06738203996385997,0.07653102410062854,0.08839459486678802,0.10228585059344691,0.11984428733455205,0.1492507830321348,0.25435636949619134,0.7016370015109691,50.3573722839355,3051010,2247.49749129938,1685.20263673478,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,3.75,0.0783702213494373,0.015628625420241526,0.004695793750128736,0.0188713034485878,9.165974569465677,7.799791172147629,0.15441275648269534,0.30595655728119175,0.25452865681650805,0.034825359604452974,0.049201089607982584,0.059772825692989154,0.06921182508870932,0.07988158381405813,0.09037068530154385,0.10372144005366579,0.12126407642186787,0.1483394334491046,0.24341168096562393,0.7539578314479318,50.3573722839355,3011487,2675.50793615524,2079.20292990644,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,3.75,0.046465960750566096,0.006250985999145883,0.0016530465143980825,0.007388534419518618,10.038169339119003,8.400199673590198,0.1488933809532339,0.2998467042234797,0.24731111260757907,0.03733625353567664,0.05136781185090723,0.0608847215962694,0.06983584250007654,0.07912078536889336,0.0892413264193258,0.10298734999402159,0.11929075522670274,0.14535204452323636,0.2445831089848901,0.8201140384863148,50.3573722839355,2947314,3298.47804428531,2820.27877456139,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,3.75,0.053146459124151633,0.011390898962408066,0.0038938828505616237,0.014328031247271252,9.517231461150597,8.24038496488986,0.13841706804209697,0.2896048455859209,0.24998792079913223,0.03659527006643431,0.05193094996707478,0.06143643830127836,0.07030725742684074,0.08083832551550485,0.09256942606872293,0.10515455176539568,0.12293301146440594,0.14889137301179367,0.2293433964125473,0.9171827503511194,50.3573722839355,2900401,3736.33910071368,2990.39581457855,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,3.75,0.10538625394927172,0.0228967928115305,0.007195470854065057,0.027852491835388397,10.141309877655814,8.295375495927239,0.19866156631341478,0.3459889646678993,0.32430970150434096,0.0285300386868642,0.04173767185632536,0.052229128700452015,0.06311598660849427,0.07512373244545661,0.08932859602769838,0.10593702731255067,0.1272453811995698,0.16130921314992686,0.25544322401265473,0.950155390384316,50.3573722839355,2889104,3855.75973394744,3143.25330183675,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,3.75,0.041908561584437856,0.007524794147610145,0.0019493831071226726,0.008768277226869983,12.055372745893145,9.88738289397923,0.17549547002413426,0.3275373177638621,0.3003637660213243,0.031544789354655454,0.04546798090677905,0.05566421817085308,0.06579464738739041,0.07620023178175342,0.08886236494917904,0.10474083316338151,0.12523294419823977,0.1586989109622745,0.2477930791255002,0.9834223070291728,50.3573722839355,2880703,3952.80253807527,3189.70449019574,FALSE,micro,survey
